Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Juneau
Station ID: USW00025309
Downloaded: Sun Jan 01 2023 19:47:36 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","2.93","29.44"
"2006-02","2.07","28.46"
"2006-03","1.55","27.74"
"2006-04","4.24","38.95"
"2006-05","4.56","47.77"
"2006-06","5.93","54.47"
"2006-07","4.43","56.29"
"2006-08","11.02","53.03"
"2006-09","13.01","49.95"
"2006-10","11.78","42.24"
"2006-11","3.4","19.37"
"2006-12","9.37","34.31"
"2007-01","6.25","31.03"
"2007-02","3","25.11"
"2007-03","4.81","28.37"
"2007-04","2.99","38.62"
"2007-05","4.27","46.74"
"2007-06","1.85","54.33"
"2007-07","6.71","56.63"
"2007-08","2.35","56.5"
"2007-09","9.09","49.73"
"2007-10","11.67","41.98"
"2007-11","3.15","34.92"
"2007-12","3.75","27.37"
"2008-01","4.91","26"
"2008-02","4.92","27.9"
"2008-03","4","35.11"
"2008-04","4.79","38.3"
"2008-05","3.87","48.02"
"2008-06","1.68","50.88"
"2008-07","8.25","53.23"
"2008-08","5.33","53.81"
"2008-09","10.84","49.53"
"2008-10","15.05","41.1"
"2008-11","5.89","35.32"
"2008-12","3.92","22.24"
"2009-01","9.38","25.77"
"2009-02","3.89","27.05"
"2009-03","2.95","28.5"
"2009-04","2.17","39.17"
"2009-05","2.67","48.06"
"2009-06","2.83","54.87"
"2009-07","2.35","59.92"
"2009-08","7.3","55.84"
"2009-09","8.92","49.78"
"2009-10","5.65","42.63"
"2009-11","7.2","34.98"
"2009-12","3.95","27.9"
"2010-01","4.79","29.61"
"2010-02","1.53","36.34"
"2010-03","6.16","36.6"
"2010-04","3.08","41.88"
"2010-05","1.25","50.73"
"2010-06","4.05","53.85"
"2010-07","3.86","54.85"
"2010-08","4.3","56.81"
"2010-09","6.24","50.9"
"2010-10","8.84","42.74"
"2010-11","7.87","34.68"
"2010-12","1.9","23.08"
"2011-01","5.26","28.16"
"2011-02","5.65","25.18"
"2011-03","1.28","28.79"
"2011-04","1.83","39.08"
"2011-05","2.82","48.21"
"2011-06","4.5","53.93"
"2011-07","3.51","55.94"
"2011-08","10.72","53.05"
"2011-09","8.58","48.83"
"2011-10","7.39","42.16"
"2011-11","7.68","29.67"
"2011-12","7.44","33.71"
"2012-01","6.43","26.89"
"2012-02","3.1","33.71"
"2012-03","2.82","33.05"
"2012-04","1.68","41.75"
"2012-05","5.73","44.74"
"2012-06","6.69","51.65"
"2012-07","5.37","54.92"
"2012-08","7.59","54.58"
"2012-09","11.02","49.57"
"2012-10","3.5","38.5"
"2012-11","4.59","29.72"
"2012-12","4.92","23.77"
"2013-01","7.7","31.31"
"2013-02","6.61","35.52"
"2013-03","2.36","29.74"
"2013-04","6.37","36.1"
"2013-05","5.33","47.98"
"2013-06","3.19","57.87"
"2013-07","4.45","57.6"
"2013-08","4.9","57.87"
"2013-09","7.53","51.88"
"2013-10","10.09","44.68"
"2013-11","6.69","30.42"
"2013-12","8.52","27.61"
"2014-01","10.15","36.56"
"2014-02","1.98","23.89"
"2014-03","3.45","31.48"
"2014-04","2.67","41"
"2014-05","1.67","52.16"
"2014-06","7.48","53.02"
"2014-07","8.26","57.39"
"2014-08","8.53","56.76"
"2014-09","9.31","51.73"
"2014-10","7.46","43.82"
"2014-11","4.44","34.83"
"2014-12","3.29","33.4"
"2015-01","11.98","35.13"
"2015-02","3.62","31.86"
"2015-03","4.52","37.06"
"2015-04","7.18","41.87"
"2015-05","0.52","54.06"
"2015-06","4.66","57.03"
"2015-07","10.4","57.58"
"2015-08","8.92","56.66"
"2015-09","11.51","49.15"
"2015-10","7.21","44.56"
"2015-11","12.02","36.07"
"2015-12","2.42","31.97"
"2016-01","6.53","34.85"
"2016-02","3.26","37.59"
"2016-03","2.17","39.89"
"2016-04","5.16","44.85"
"2016-05","5.67","51.79"
"2016-06","3.48","56.47"
"2016-07","4.28","59.71"
"2016-08","5.97","58.55"
"2016-09","11.64","51.2"
"2016-10","2.59","40.23"
"2016-11","6.55","37.02"
"2016-12","6.73","25.74"
"2017-01","6.27","29.76"
"2017-02","4.31","30.07"
"2017-03","4.44","27.44"
"2017-04","1.96","42.95"
"2017-05","5.19","49.1"
"2017-06","3.86","53.32"
"2017-07","7.04","55.45"
"2017-08","8.46","56.9"
"2017-09","8.3","51.28"
"2017-10","9.33","41.48"
"2017-11","2.34","27.17"
"2017-12","8.07","31.26"
"2018-01","5.7","28.66"
"2018-02","2.35","23.09"
"2018-03","2.53","32.16"
"2018-04","3.15","39.93"
"2018-05","5.27","49.05"
"2018-06","3.07","55.1"
"2018-07","2.82","61.21"
"2018-08","7.01","57.53"
"2018-09","2.28","49.92"
