Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Ketchikan
Station ID: USW00025325
Downloaded: Sun Jan 01 2023 19:47:28 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","15.12","36.24"
"2006-02","8.02","33.55"
"2006-03","4.28","33.53"
"2006-04","19.56","40.47"
"2006-05","8.72","48.06"
"2006-06","7.37","55.3"
"2006-07","9.59","58.16"
"2006-08","9.49","55.95"
"2006-09","18.36","52.52"
"2006-10","15.43","45.15"
"2006-11","13.98","31.28"
"2006-12","31.53","37.97"
"2007-01","18.37","35.13"
"2007-02","11.05","36.18"
"2007-03","19.43","36.29"
"2007-04","23.03","41.68"
"2007-05","7.48","47.29"
"2007-06","3.94","54.25"
"2007-07","10.04","57.42"
"2007-08","6.05","58.35"
"2007-09","9.97","52.27"
"2007-10","32.51","44.48"
"2007-11","12.3","37.98"
"2007-12","15.3","32.1"
"2008-01","10.02","32.42"
"2008-02","18.59","34.53"
"2008-03","14.63","37.15"
"2008-04","12.91","39.43"
"2008-05","9.21","49.11"
"2008-06","11.78","51.55"
"2008-07","14.23","55.05"
"2008-08","12.22","57.69"
"2008-09","5.38","54.3"
"2008-10","25.37","45.45"
"2008-11","20.53","42.23"
"2008-12","9.5","30.69"
"2009-01","14.13","33.21"
"2009-02","13.34","32.25"
"2009-03","9.19","34.16"
"2009-04","7.75","42.25"
"2009-05","6.09","49.06"
"2009-06","7.31","55.85"
"2009-07","3.19","61.47"
"2009-08","13.77","59.08"
"2009-09","28.28","52.05"
"2009-10","17.89","45.29"
"2009-11","20.6","38.92"
"2009-12","5.5","31.77"
"2010-01","22.11","40.94"
"2010-02","10.9","40.75"
"2010-03","24.5","39.69"
"2010-04","4.75","43.32"
"2010-05","2.12","50.13"
"2010-06","7.1","53.3"
"2010-07","2.77","59.1"
"2010-08","8.19","59.79"
"2010-09","13.96","53.88"
"2010-10","34.8","46.82"
"2010-11","16.35","38.82"
"2010-12","9.57","35.05"
"2011-01","14.89","34.65"
"2011-02","12.49","32"
"2011-03","10.05","37.34"
"2011-04","6.17","40.97"
"2011-05","9.82","48.92"
"2011-06","2.83","55.02"
"2011-07","11.93","56.84"
"2011-08","17.73","56.71"
"2011-09","28.33","53.77"
"2011-10","24.13","45.84"
"2011-11","18.24","36.37"
"2011-12","14.66","36.56"
"2012-01","22.26","32.05"
"2012-02","9.35","37.05"
"2012-03","10.69","35.82"
"2012-04","7.98","43.7"
"2012-05","19.23","46.02"
"2012-06","9.85","52.73"
"2012-07","9.05","57.52"
"2012-08","5.63","57.48"
"2012-09","14.41","53.3"
"2012-10","8.48","43"
"2012-11","17.11","39.85"
"2012-12","9.86","33.98"
"2013-01","13.82","37.92"
"2013-02","19.75","38.91"
"2013-03","5.73","37.26"
"2013-04","7.53","41.75"
"2013-05","12.82","50.74"
"2013-06","4.55","57.15"
"2013-07","4.18","59.95"
"2013-08","9.83","59.97"
"2013-09","16.44","55.63"
"2013-10","12.73","48.55"
"2013-11","15.76","39.38"
"2013-12","27.68","36.63"
"2014-01","14.41","40.13"
"2014-02","4","30.59"
"2014-03","16.21","36.97"
"2014-04","21.2","43.65"
"2014-05","6.06","52.82"
"2014-06","12.25","54.73"
"2014-07","12.88","59.87"
"2014-08","14.01","60.56"
"2014-09","13.4","56.22"
"2014-10","22.41","48.69"
"2014-11","15.03","39.28"
"2014-12","15.76","40.84"
"2015-01","30.97","41.27"
"2015-02","12.81","40.18"
"2015-03","13.23","42.74"
"2015-04","16.9","44.2"
"2015-05","0.68","54.92"
"2015-06","5.51","57.78"
"2015-07","7.79","61.71"
"2015-08","11.56","58.56"
"2015-09","11.75","52.77"
"2015-10","30.64","49.81"
"2015-11","15.98","39.82"
"2015-12","9.93","36.58"
"2016-01","16.48","40.24"
"2016-02","24.88","42.55"
"2016-03","10.47","43.81"
"2016-04","16.52","47.27"
"2016-05","9.59","52.89"
"2016-06","5.25","56.6"
"2016-07","4.77","60.53"
"2016-08","3.57","61.98"
"2016-09","14.88","54.15"
"2016-10","7.38","46.58"
"2016-11","16.9","43.08"
"2016-12","9.11","31.23"
"2017-01","16.65","35.92"
"2017-02","12.35","33.39"
"2017-03","16.11","33.82"
"2017-04","3.67","45.38"
"2017-05","11.03","50.53"
"2017-06","10.97","53.75"
"2017-07","11.17","56.82"
"2017-08","24.85","60.15"
"2017-09","11.38","55.52"
