Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Kodiak
Station ID: USW00025501
Downloaded: Sun Jan 01 2023 19:47:15 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","3.2","26.6"
"2006-02","3.59","29.3"
"2006-03","3.06","32.05"
"2006-04","3.87","35.35"
"2006-05","4.07","45.26"
"2006-06","8.21","49.63"
"2006-07","7.96","53.47"
"2006-08","5.08","54.21"
"2006-09","5.82","49.13"
"2006-10","5.96","42.53"
"2006-11","1.92","28.67"
"2006-12","10.91","28.68"
"2007-01","8.82","24.39"
"2007-02","3.84","31.16"
"2007-03","1.14","22.06"
"2007-04","12.57","36.72"
"2007-05","11.22","41.56"
"2007-06","3.88","49.58"
"2007-07","9.74","53.05"
"2007-08","4.82","55.69"
"2007-09","5.45","50.77"
"2007-10","7.08","39.29"
"2007-11","10","35.68"
"2007-12","10.95","30.37"
"2008-01","4.18","26.35"
"2008-02","9.21","28.09"
"2008-03","7.96","31.6"
"2008-04","2.26","35.22"
"2008-05","14.05","42.4"
"2008-06","7.94","47.62"
"2008-07","9.71","52.89"
"2008-08","8.03","53.32"
"2008-09","7.59","48.23"
"2008-10","4.53","36.68"
"2008-11","4.19","29.65"
"2008-12","7.73","30.92"
"2009-01","7.71","27.84"
"2009-02","3.33","28.05"
"2009-03","5.2","28.74"
"2009-04","5.68","36.38"
"2009-05","5.3","44.79"
"2009-06","2.39","49.28"
"2009-07","8.18","55.05"
"2009-08","6.25","54.35"
"2009-09","10.98","48.7"
"2009-10","16.58","43.76"
"2009-11","7.83","31.1"
"2009-12","10.25","32.08"
"2010-01","11.3","35.31"
"2010-02","9.59","35.29"
"2010-03","4.72","31.06"
"2010-04","6.04","36.3"
"2010-05","7.09","43.68"
"2010-06","4.22","49.32"
"2010-07","5.49","53"
"2010-08","3.57","55.26"
"2010-09","3.1","50.98"
"2010-10","7.42","41.32"
"2010-11","1.67","35.15"
"2010-12","3.13","30.06"
"2011-01","8.13","32.66"
"2011-02","2.8","30.96"
"2011-03","2.99","33.66"
"2011-04","5.99","37.95"
"2011-05","6.91","44.4"
"2011-06","3.24","49.6"
"2011-07","1.9","54.98"
"2011-08","7.42","54.6"
"2011-09","15.49","48.9"
"2011-10","5.21","41.94"
"2011-11","4.53","28.35"
"2011-12","5.92","28.42"
"2012-01","4.72","21.35"
"2012-02","7.41","31.69"
"2012-03","3.33","25.87"
"2012-04","3.99","39.52"
"2012-05","5.93","42.45"
"2012-06","0.8","50.47"
"2012-07","4.05","52.05"
"2012-08","3.18","53.69"
"2012-09","9.64","48.27"
"2012-10","4.71","39.45"
"2012-11","4.54","34.35"
"2012-12","5.64","28.76"
"2013-01","9.53","33.15"
"2013-02","6.65","32.55"
"2013-03","4.47","31.92"
"2013-04","2.57","33.8"
"2013-05","2.22","42.9"
"2013-06","4.11","53.83"
"2013-07","1.06","58.02"
"2013-08","9.3","56.11"
"2013-09","7.54","50.07"
"2013-10","9.96","44.4"
"2013-11","3.6","36.08"
"2013-12","4.45","31.19"
"2014-01","14.3","36.82"
"2014-02","6.95","30.02"
"2014-03","3.96","33.48"
"2014-04","7.13","39.2"
"2014-05","1.19","50.27"
"2014-06","6.22","50.68"
"2014-07","2.58","57"
"2014-08","6.9","56.31"
"2014-09","7.52","52.38"
"2014-10","5.9","39.65"
"2014-11","13","39.78"
"2014-12","13.79","38.23"
"2015-01","10.13","36.27"
"2015-02","8.79","35.48"
"2015-03","7.53","36.58"
"2015-04","6.64","38.98"
"2015-05","6.03","46.97"
"2015-06","3.08","54.18"
"2015-07","3.32","57.44"
"2015-08","2.01","58.69"
"2015-09","2.16","50.28"
"2015-10","13.8","45.55"
"2015-11","6.93","36.27"
"2015-12","12.28","34.65"
"2016-01","10.41","36.4"
"2016-02","12.88","35.98"
"2016-03","7.34","39.32"
"2016-04","8.9","42.32"
"2016-05","3.25","48.16"
"2016-06","3.48","53.83"
"2016-07","2.46","59.92"
"2016-08","3.28","58.87"
"2016-09","4.99","51.7"
"2016-10","11.58","44"
"2016-11","9.31","37.17"
"2016-12","4.11","31.48"
"2017-01","2.95","28.21"
"2017-02","2.6","30.02"
"2017-03","0.7","28.79"
"2017-04","7.34","39.87"
"2017-05","7.17","45.19"
"2017-06","7.97","50.78"
"2017-07","3.76","55.74"
"2017-08","8.19","54.15"
"2017-09","7.06","50.23"
"2017-10","5.29","43.32"
"2017-11","1.95","36.38"
"2017-12","12.9","36.24"
"2018-01","6.27","31.48"
"2018-02","4.66","35.38"
"2018-03","2.16","36.02"
"2018-04","5.61","40.95"
"2018-05","9.3","44.53"
"2018-06","4.17","51.05"
"2018-07","5.52","56.47"
"2018-08","6.97","57.11"
"2018-09","3.2","53.92"
"2018-10","5.58","45.45"
"2018-11","13.59","39.37"
"2018-12","8.05","32.34"
"2019-01","7.42","33.44"
"2019-02","0.66","35.45"
"2019-03","7","38.85"
"2019-04","5.93","38.98"
"2019-05","7.41","46.68"
"2019-06","3.29","53.8"
"2019-07","2.57","60.42"
"2019-08","1.1","61.74"
"2019-09","5.09","53.27"
"2019-10","10.63","44.24"
"2019-11","12.39","42.57"
"2019-12","10.33","34.75"
"2020-01","2.38","21.93"
"2020-02","4.28","29.62"
"2020-03","0.19","32.65"
"2020-04","3.72","40.78"
"2020-05","3.68","47.4"
"2020-06","5.32","51.08"
"2020-07","2.43","59.84"
"2020-08","2.82","57.56"
"2020-09","11.26","50.55"
"2020-10","7.33","42.68"
"2020-11","5.95","34.47"
"2020-12","13.21","31.53"
"2021-01","13.73","34.21"
"2021-02","5.28","31.87"
"2021-03","1.94","32.4"
"2021-04","6.1","38.98"
"2021-05","8.52","44.24"
"2021-06","6.52","51.25"
"2021-07","5.66","56.27"
"2021-08","2.82","55.6"
"2021-09","8.81","49.62"
"2021-10","11.34","43.4"
"2021-11","0.85","25.52"
"2021-12","1.67","31.58"
"2022-01","8.41","30.74"
"2022-02","8.24","36.89"
"2022-03","10.41","36.29"
"2022-04","6.07","38.18"
"2022-05","3.06","47.44"
"2022-06","1.61","55.8"
"2022-07","5.73","56.44"
"2022-08","9.38","57.35"
"2022-09","3.91","51.57"
"2022-10","11.3","44.24"
"2022-11","7.51","35.77"
"2022-12","6.42","33.31"
