Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: King Salmon
Station ID: USW00025503
Downloaded: Sun Jan 01 2023 19:47:22 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","1.43","0.44"
"2006-02","1.25","22.62"
"2006-03","0.85","17.71"
"2006-04","2.17","30.05"
"2006-05","1.04","44.87"
"2006-06","2.21","51.32"
"2006-07","2.06","54.66"
"2006-08","5.64","52.4"
"2006-09","3.6","48.48"
"2006-10","3.94","39.69"
"2006-11","0.41","15.18"
"2006-12","1.18","10.42"
"2007-01","1","10.84"
"2007-02","0.2","21.32"
"2007-03","0.4","5.69"
"2007-04","0.7","38.32"
"2007-05","1.41","43.21"
"2007-06","3.2","50.57"
"2007-07","1.74","55.24"
"2007-08","1.6","56.81"
"2007-09","6.1","49.6"
"2007-10","2.68","34.81"
"2007-11","1.08","31.38"
"2007-12","1.51","18.47"
"2008-01","1.26","6.52"
"2008-02","0.38","8.86"
"2008-03","0.77","23.39"
"2008-04","1.09","28.67"
"2008-05","0.6","42.61"
"2008-06","1.34","48.5"
"2008-07","2.53","52.58"
"2008-08","1.62","53.87"
"2008-09","3.3","47.88"
"2008-10","2.7","28.48"
"2008-11","0.74","14.8"
"2008-12","1.69","20.73"
"2009-01","1.05","10.69"
"2009-02","1.23","15.93"
"2009-03","1.53","17.87"
"2009-04","0.63","32.22"
"2009-05","1.1","45.48"
"2009-06","2.12","50.52"
"2009-07","2.72","56.66"
"2009-08","1.68","52.48"
"2009-09","2.26","47.1"
"2009-10","1.7","38.81"
"2009-11","0.96","17.12"
"2009-12","0.35","23.85"
"2010-01","0.5","15.4"
"2010-02","0.45","22.7"
"2010-03","0.41","15.52"
"2010-04","1.09","30.87"
"2010-05","0.68","43.52"
"2010-06","1.15","50.18"
"2010-07","3.3","51.63"
"2010-08","4.41","53.11"
"2010-09","1","49.17"
"2010-10","1.7","35.4"
"2010-11","0.82","22.78"
"2010-12","1.11","6.89"
"2011-01","1.31","19.94"
"2011-02","0.64","16.88"
"2011-03","0.1","23.03"
"2011-04","1.09","32.55"
"2011-05","1.93","45.1"
"2011-06","2.77","48.72"
"2011-07","2.2","51.97"
"2011-08","3.99","52.06"
"2011-09","2.25","47.88"
"2011-10","3.25","37.58"
"2011-11","2.72","15.3"
"2011-12","1.64","17.65"
"2012-01","1.12","-6.73"
"2012-02","1.12","24.22"
"2012-03","1.35","9.35"
"2012-04","0.56","35.35"
"2012-05","1.62","41.13"
"2012-06","2.47","48.98"
"2012-07","4.77","52.32"
"2012-08","2.64","52.97"
"2012-09","4.38","45.73"
"2012-10","1.86","31.31"
"2012-11","1.6","15.23"
"2012-12","2.05","12.4"
"2013-01","2.4","25.48"
"2013-02","1.93","23.04"
"2013-03","1.5","21.26"
"2013-04","0.19","28.37"
"2013-05","0.33","42.48"
"2013-06","1.05","55.3"
"2013-07","1.3","57.66"
"2013-08","5.38","55.76"
"2013-09","2.08","46.95"
"2013-10","4.63","43.03"
"2013-11","2.61","25.07"
"2013-12","1.13","21.45"
"2014-01","1.75","34.82"
"2014-02","0.06","22.46"
"2014-03","0.76","24.58"
"2014-04","0.52","38.07"
"2014-05","2.04","48.94"
"2014-06","3.25","50.38"
"2014-07","2.38","57.02"
"2014-08","3.51","57.21"
"2014-09","3.37","50.88"
"2014-10","0.38","32"
"2014-11","2.43","36.52"
"2014-12","1.96","31.58"
"2015-01","0.52","21.13"
"2015-02","0.27","26.98"
"2015-03","0.95","30.44"
"2015-04","2.18","36.07"
"2015-05","3.32","47.92"
"2015-06","0.84","56.42"
"2015-07","3.11","57.35"
"2015-08","1.76","55.27"
"2015-09","3.25","46.83"
"2015-10","1.57","42.81"
"2015-11","4.84","30.25"
"2015-12","2.35","23.18"
"2016-01","0.48","32.39"
"2016-02","0.96","34.84"
"2016-03","1.95","32.94"
"2016-04","0.85","43.18"
"2016-05","3.17","48.95"
"2016-06","2.28","55.8"
"2016-07","3.52","59.1"
"2016-08","4.84","59.5"
"2016-09","4.84","51.33"
"2016-10","1.12","40.44"
"2016-11","0.94","22.97"
"2016-12","1.09","18.82"
"2017-01","0.15","12.69"
"2017-02","1.05","15.84"
"2017-03","0.05","12.37"
"2017-04","0.75","38.9"
"2017-05","1.07","45.15"
"2017-06","2.4","53.72"
"2017-07","1.99","57.94"
"2017-08","3.38","55.39"
"2017-09","3.94","48.3"
"2017-10","3.37","38.87"
"2017-11","1.18","26.57"
"2017-12","1.81","30.73"
"2018-01","1.48","18.1"
"2018-02","2.22","27.39"
"2018-03","1.2","28.26"
"2018-04","2.06","37.27"
"2018-05","2.09","44.97"
"2018-06","3.1","52.97"
"2018-07","3.09","56.66"
"2018-08","5.45","55.4"
"2018-09","3.15","52.05"
"2018-10","4.07","44.55"
"2018-11","1","32.65"
"2018-12","1.73","15.21"
"2019-01","0.87","28.46"
"2019-02","2.27","31.4"
"2019-03","1.47","35.84"
"2019-04","1.26","36.4"
"2019-05","1.81","46.81"
"2019-06","1.06","55.98"
