Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Fairbanks
Station ID: USW00026411
Downloaded: Sun Jan 01 2023 19:47:43 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","0.22","-22.13"
"2006-02","0.76","5.57"
"2006-03","0.22","2.97"
"2006-04","0.4","29.47"
"2006-05","0.18","49.69"
"2006-06","0.71","58.08"
"2006-07","2.24","61.27"
"2006-08","2.16","54.39"
"2006-09","0.56","49.5"
"2006-10","0.56","31.66"
"2006-11","0.09","-9.92"
"2006-12","0.48","-1.98"
"2007-01","0.5","-6.63"
"2007-02","0.12","-6.71"
"2007-03","0.2","-6.52"
"2007-04","0.1","37.57"
"2007-05","0.86","51.03"
"2007-06","1.88","61.6"
"2007-07","3.67","64.42"
"2007-08","1.52","60.52"
"2007-09","1.58","47.05"
"2007-10","0.51","21.18"
"2007-11","0.11","11.48"
"2007-12","0.31","-3.35"
"2008-01","0.93","-9.21"
"2008-02","0.18","-5.93"
"2008-03","0.1","15.42"
"2008-04","1.27","29.5"
"2008-05","0.5","49.87"
"2008-06","2.08","60.22"
"2008-07","4.12","60.63"
"2008-08","2.66","54.97"
"2008-09","0.64","46.63"
"2008-10","0.76","15.06"
"2008-11","0.28","-1.43"
"2008-12","0.5","-7.79"
"2009-01","0.52","-11.95"
"2009-02","0.59","-1.48"
"2009-03","1.09","5.6"
"2009-04","0.09","31.18"
"2009-05","0.05","51.53"
"2009-06","1.55","60.25"
"2009-07","0.06","66.47"
"2009-08","2.72","54.45"
"2009-09","0.53","48.5"
"2009-10","0.5","30.71"
"2009-11","0.31","-1.23"
"2009-12","0.36","-2.84"
"2010-01","0.03","-13.73"
"2010-02","0.15","2.86"
"2010-03","0.09","10.79"
"2010-04","0.29","39.43"
"2010-05","0.24","53.95"
"2010-06","1.36","59.78"
"2010-07","3.11","62.65"
"2010-08","1.46","59.87"
"2010-09","1.19","47.12"
"2010-10","0.45","27.52"
"2010-11","1.71","11.92"
"2010-12","0.23","-17.87"
"2011-01","0.19","-6"
"2011-02","1.62","-6.52"
"2011-03","0.15","7.24"
"2011-04","0.07","31.77"
"2011-05","0.04","52.4"
"2011-06","1.77","60.43"
"2011-07","1.7","61.73"
"2011-08","1.6","57.18"
"2011-09","0.65","48.92"
"2011-10","0.32","28.89"
"2011-11","0.46","-8.2"
"2011-12","0.95","3.98"
"2012-01","0.69","-26.85"
"2012-02","0.42","5.91"
"2012-03","0.74","4.47"
"2012-04","0.07","36.88"
"2012-05","0.73","47.89"
"2012-06","1.39","61.58"
"2012-07","1.72","60.82"
"2012-08","1.45","56.27"
"2012-09","0.55","45.53"
"2012-10","1.38","22.52"
"2012-11","0.29","-8.75"
"2012-12","1.19","-17.26"
"2013-01","0.79","-2.65"
"2013-02","0.48","-1.43"
"2013-03","0.26","7.13"
"2013-04","0.66","17.95"
"2013-05","0.15","44.27"
"2013-06","0.43","66.8"
"2013-07","1.01","64.29"
"2013-08","2.02","59.39"
"2013-09","1.74","43.78"
"2013-10","0.59","36.13"
"2013-11","1.74","6.08"
"2013-12","0.78","-4.52"
"2014-01","0.22","7.63"
"2014-02","0.4","-4.36"
"2014-03","0.21","13.9"
"2014-04","0.2","33.92"
"2014-05","0.06","51.32"
"2014-06","3.56","58.42"
"2014-07","5.78","61"
"2014-08","2.29","59.08"
"2014-09","2.89","46.37"
"2014-10","0.44","25.16"
"2014-11","0.18","10.75"
"2014-12","0.93","8.05"
"2015-01","0.15","-6.47"
"2015-02","0.48","0.98"
"2015-03","0.49","15.47"
"2015-04","0.16","36.8"
"2015-05","0.29","55.26"
"2015-06","1.03","59.75"
"2015-07","2.78","62.21"
"2015-08","2.58","54.56"
"2015-09","3.74","42.4"
"2015-10","0.83","31.82"
"2015-11","1.78","9.07"
"2015-12","0.07","-2.16"
"2016-01","0.01","3.48"
"2016-02","0.05","7.9"
"2016-03","0.53","19.81"
"2016-04","0.52","42.42"
"2016-05","0.78","53.44"
"2016-06","3.29","59.97"
"2016-07","4.97","63.4"
"2016-08","1.56","61.15"
"2016-09","2.08","46.23"
"2016-10","0.02","26.73"
"2016-11","0.29","3.68"
"2016-12","1.99","-8.37"
"2017-01","0.96","-9.48"
"2017-02","1.24","0.68"
"2017-03","0.17","-2.98"
"2017-04","0.09","36.07"
"2017-05","0.59","49.77"
"2017-06","1.73","62.78"
"2017-07","1.94","65.71"
"2017-08","2.15","58.81"
"2017-09","1.42","47.98"
"2017-10","2.44","31.18"
"2017-11","1.36","4.8"
"2017-12","0.38","8.95"
"2018-01","1.1","-6"
"2018-02","1.56","2.61"
"2018-03","0.58","15.61"
"2018-04","0.15","31.32"
"2018-05","1.15","49.68"
"2018-06","0.57","58.83"
"2018-07","1.01","63.92"
