Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Delta Junction
Station ID: USW00026415
Downloaded: Sun Jan 01 2023 19:47:49 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","0.05","-7.56"
"2006-02","0.2","12.29"
"2006-03","0.06","6.97"
"2006-04","0.04","30"
"2006-05","1.27","48.44"
"2006-06","5.41","55.85"
"2006-07","0.9","60.1"
"2006-08","1.28","54.35"
"2006-09","0.36","49.12"
"2006-10","0.71","31.82"
"2006-11","0.06","-9.63"
"2006-12","0.29","4.26"
"2007-01","0.37","-1.17"
"2007-02","0.16","0.95"
"2007-03","0.16","-3.84"
"2007-04","0.22","37.68"
"2007-05","1.58","48.97"
"2007-06","1.86","60"
"2007-07","2.06","62.15"
"2007-08","1.8","58.63"
"2007-09","2.25","45.85"
"2007-10","0.58","21.58"
"2007-11","0.12","19.58"
"2007-12","0.48","1.76"
"2008-01","0.06","-6.2"
"2008-02","0.09","1.16"
"2008-03","0.07","18.68"
"2008-04","0.43","30.02"
"2008-05","0.41","47.13"
"2008-06","2.24","56.75"
"2008-07","6.75","56.06"
"2008-08","0.83","51.89"
"2008-09","0.26","45.13"
"2008-10","0.44","15.56"
"2008-11","0.49","4.55"
"2008-12","0.21","-4.97"
"2009-01","0.06","-11.02"
"2009-02","0.2","7.33"
"2009-03","0.13","7.69"
"2009-04","0.11","33.02"
"2009-05","1.78","49.5"
"2009-06","2.19","56.92"
"2009-07","0.97","64.69"
"2009-08","1.97","52.9"
"2009-09","0.64","45.25"
"2009-10","0.19","31.06"
"2009-11","0.24","5.38"
"2009-12","0.23","5.42"
"2010-01","0.3","-3"
"2010-02","0.17","12.75"
"2010-03","","16"
"2010-04","0.79","35.93"
"2010-05","0.79","51.52"
"2010-06","3.77","56.78"
"2010-07","1.79","60.52"
"2010-08","1.2","58.23"
"2010-09","1.22","44.23"
"2010-10","1.18","27.9"
"2010-11","0.45","13.73"
"2010-12","0.36","-14.18"
"2011-01","","3.19"
"2011-02","","-2.11"
"2011-03","","10.45"
"2011-04","0.13","32.73"
"2011-05","0.16","50.31"
"2011-06","2.09","57.25"
"2011-07","2.89","58.44"
"2011-08","1.43","53.56"
"2011-09","0.26","47.87"
"2011-10","0.25","28.18"
"2011-11","0","-5.53"
"2011-12","0","8.23"
"2012-01","","-21.19"
"2012-02","0.24","17.19"
"2012-03","0.22","7.13"
"2012-04","0.09","37.65"
"2012-05","1.3","45.37"
"2012-06","1.94","57.9"
"2012-07","1.96","58.79"
"2012-08","1.05","56.11"
"2012-09","0.12","47.25"
"2012-10","0.77","21.15"
"2012-11","0.23","-6.48"
"2012-12","0.14","-7.84"
"2013-01","0.39","4.24"
"2013-02","0.14","7.68"
"2013-03","0.14","12.61"
"2013-04","0.35","17.05"
"2013-05","0.09","42.74"
"2013-06","1.28","63.09"
"2013-07","1.54","62.13"
"2013-08","0.59","59.9"
"2013-09","0.67","38.26"
"2013-10","0.25","37.36"
"2013-11","0.96","6.07"
"2013-12","0.16","-2.88"
"2014-01","0.42","15.52"
"2014-02","0.24","1.21"
"2014-03","0.02","16.89"
"2014-04","0.02","33.42"
"2014-05","0.14","49.29"
"2014-06","5","54.23"
"2014-07","1.66","58.39"
"2014-08","2.49","56.31"
