Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Anchorage
Station ID: USW00026451
Downloaded: Sun Jan 01 2023 19:47:57 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","0.33","10.58"
"2006-02","0.91","21.88"
"2006-03","0.63","23.66"
"2006-04","0.47","35.78"
"2006-05","0.4","48.63"
"2006-06","1.35","54.42"
"2006-07","1.04","58.16"
"2006-08","5.64","54.85"
"2006-09","3.14","49.48"
"2006-10","1.65","38.97"
"2006-11","0.04","11.48"
"2006-12","2.09","21.55"
"2007-01","1.08","16.71"
"2007-02","0.12","17.27"
"2007-03","0.2","14.32"
"2007-04","0.09","38.38"
"2007-05","0.62","47.29"
"2007-06","1.09","54.47"
"2007-07","1.46","58.18"
"2007-08","1.62","58.21"
"2007-09","3.91","50.48"
"2007-10","1.76","35.53"
"2007-11","1.08","30.75"
"2007-12","0.58","19.48"
"2008-01","1.19","13.37"
"2008-02","0.85","16.76"
"2008-03","0.51","30.21"
"2008-04","1.82","33.38"
"2008-05","0.36","45.79"
"2008-06","0.59","51.62"
"2008-07","3.25","55.82"
"2008-08","0.93","55.58"
"2008-09","3.2","48.43"
"2008-10","1.69","29.34"
"2008-11","0.82","21.18"
"2008-12","0.92","14.19"
"2009-01","0.89","12.97"
"2009-02","0.46","17.48"
"2009-03","0.98","21.81"
"2009-04","0.11","35.3"
"2009-05","0.6","48.48"
"2009-06","0.57","54.22"
"2009-07","1.21","59.37"
"2009-08","2.57","56.21"
"2009-09","1.17","48.95"
"2009-10","2.12","40.71"
"2009-11","1.13","20.55"
"2009-12","0.71","20.24"
"2010-01","0.68","18.45"
"2010-02","0.87","25.59"
"2010-03","0.51","27.05"
"2010-04","1.13","36.83"
"2010-05","0.08","48.42"
"2010-06","1.09","54.28"
"2010-07","3.14","56.53"
"2010-08","3.03","56.65"
"2010-09","1.03","49.65"
"2010-10","0.43","38.16"
"2010-11","2.65","25.97"
"2010-12","0.87","11.16"
"2011-01","0.52","18.76"
"2011-02","0.73","17.14"
"2011-03","0.45","25.05"
"2011-04","0.37","37.58"
"2011-05","0.35","48.08"
"2011-06","1.19","54.27"
"2011-07","1.92","57.97"
"2011-08","3.93","55.5"
"2011-09","0.63","49.67"
"2011-10","1.48","37.69"
"2011-11","2.18","14.83"
"2011-12","2.67","23.71"
"2012-01","1.17","2.87"
"2012-02","1.6","25.33"
"2012-03","0.59","20.89"
"2012-04","0.5","38.72"
"2012-05","0.43","45.79"
"2012-06","1.37","54.85"
"2012-07","2.14","56.26"
"2012-08","1.82","56.74"
"2012-09","6.12","48.98"
"2012-10","2.63","34.32"
"2012-11","0.23","18.52"
"2012-12","1.65","15.68"
"2013-01","1.1","23.27"
"2013-02","1.12","25.95"
"2013-03","1.32","24.71"
"2013-04","0.78","29.28"
"2013-05","1.4","45.27"
"2013-06","0.38","59.42"
"2013-07","1.02","62.24"
"2013-08","5.04","58.53"
"2013-09","5.56","49.22"
"2013-10","3.14","43.94"
"2013-11","1.68","23.13"
"2013-12","1.43","15.73"
"2014-01","1.52","30.26"
"2014-02","0.43","19.25"
"2014-03","0.79","27.58"
"2014-04","0.08","38.48"
"2014-05","0.46","52.47"
"2014-06","3.21","54.77"
"2014-07","2.99","60.63"
"2014-08","2.52","58.47"
"2014-09","4.01","50.43"
"2014-10","1.2","34.68"
"2014-11","0.39","31.27"
"2014-12","0.68","27.79"
"2015-01","0.35","20.37"
"2015-02","0.72","24.96"
"2015-03","0.77","29.66"
"2015-04","0.7","40.68"
"2015-05","0.55","50.19"
"2015-06","0.93","59.48"
"2015-07","2.37","62.15"
"2015-08","0.98","58.92"
"2015-09","7.7","46.4"
"2015-10","1.96","40.44"
"2015-11","1.69","23.77"
"2015-12","0.23","21.45"
"2016-01","0.28","27.06"
"2016-02","0.32","29.93"
"2016-03","1.23","33.45"
"2016-04","0.02","43.45"
"2016-05","0.33","51.97"
"2016-06","1.71","59.08"
"2016-07","2.48","62.69"
"2016-08","5.45","60.5"
"2016-09","2.35","51.65"
"2016-10","0.59","35.85"
"2016-11","0.25","26.12"
"2016-12","1.47","16.03"
"2017-01","1.71","13.65"
"2017-02","0.99","18.71"
"2017-03","0.67","19.21"
"2017-04","0.4","40.33"
"2017-05","1.06","47.87"
"2017-06","0.87","55.3"
"2017-07","2.13","60.19"
"2017-08","4.1","57.53"
"2017-09","2.46","51.62"
"2017-10","3.12","39.13"
"2017-11","0.71","20.85"
"2017-12","0.44","26.45"
"2018-01","0.81","20.16"
"2018-02","2.29","18.95"
"2018-03","0.82","27.65"
"2018-04","0.32","39.6"
"2018-05","0.33","48.48"
"2018-06","1.11","56.53"
"2018-07","1.52","61.39"
"2018-08","3.67","58.32"
"2018-09","0.87","55.02"
"2018-10","2.81","44.82"
"2018-11","1.46","30.13"
"2018-12","2.43","25.56"
"2019-01","0.76","20.29"
"2019-02","0.92","20.79"
"2019-03","0.04","35.73"
"2019-04","1.11","40.05"
"2019-05","2.18","50.18"
"2019-06","0.06","60.47"
"2019-07","0.8","65.26"
"2019-08","0.04","62.65"
"2019-09","3.78","52.67"
"2019-10","1.85","41.76"
"2019-11","2.04","35.68"
"2019-12","0.98","24.71"
"2020-01","0.7","6.18"
"2020-02","1.61","18.72"
"2020-03","1.42","21.48"
"2020-04","0.97","36.62"
"2020-05","0.63","50.4"
"2020-06","0.67","55.53"
"2020-07","1.65","60.97"
"2020-08","3.21","58.84"
"2020-09","1.88","50.63"
"2020-10","1.43","37.19"
"2020-11","1.56","21.37"
"2020-12","1.49","22.63"
"2021-01","0.67","22.26"
"2021-02","0.9","14.25"
"2021-03","1","19.18"
"2021-04","0.17","34.82"
