Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Nome
Station ID: USW00026617
Downloaded: Sun Jan 01 2023 19:47:07 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","0.18","-7.21"
"2006-02","1.54","11.59"
"2006-03","0.78","7.24"
"2006-04","0.39","12.38"
"2006-05","0.44","35.73"
"2006-06","2.08","42.52"
"2006-07","2.43","49.85"
"2006-08","1.48","48.27"
"2006-09","3.57","45.22"
"2006-10","3.24","36.05"
"2006-11","1.09","20.73"
"2006-12","0.27","5.24"
"2007-01","1.69","6.26"
"2007-02","0.08","12.29"
"2007-03","0.18","0.19"
"2007-04","0.4","26.88"
"2007-05","0.08","38.47"
"2007-06","1.62","47.78"
"2007-07","0.74","55.45"
"2007-08","2","54.42"
"2007-09","3.84","47.8"
"2007-10","0.91","28.81"
"2007-11","1.33","21.63"
"2007-12","1.43","11.4"
"2008-01","1.87","-0.74"
"2008-02","0.37","-3.71"
"2008-03","0.83","9"
"2008-04","0.95","15.07"
"2008-05","0.59","36.4"
"2008-06","1.13","44.47"
"2008-07","3.09","49.52"
"2008-08","0.56","49.65"
"2008-09","0.06","45.2"
"2008-10","0.11","21.97"
"2008-11","0.37","9.03"
"2008-12","1","12.5"
"2009-01","0.79","0.9"
"2009-02","1.79","1.64"
"2009-03","1.26","5.29"
"2009-04","1.2","16.52"
"2009-05","0.39","34.68"
"2009-06","1.66","47"
"2009-07","1.32","54.45"
"2009-08","2.41","49.5"
"2009-09","0.97","42.13"
"2009-10","0.91","30.44"
"2009-11","0.97","8.43"
"2009-12","0.94","15.03"
"2010-01","0.16","1.56"
"2010-02","0.51","7.17"
"2010-03","0.16","1.24"
"2010-04","0.72","20.02"
"2010-05","0.27","38.92"
"2010-06","1.16","44.17"
"2010-07","2.14","52.03"
"2010-08","2.26","51.24"
"2010-09","2.09","46.48"
"2010-10","1.7","31.85"
"2010-11","1.48","19.2"
"2010-12","1.46","4.74"
"2011-01","1.16","14.94"
"2011-02","1.23","6.16"
"2011-03","0.24","10.32"
"2011-04","0.64","17.87"
"2011-05","0.58","38.35"
"2011-06","0.86","49.17"
"2011-07","4.27","48.56"
"2011-08","4.36","48.03"
"2011-09","0.9","45.12"
"2011-10","1.55","28.02"
"2011-11","0.49","7.33"
"2011-12","2.15","6.47"
"2012-01","0.19","-16.63"
"2012-02","1.08","9.41"
"2012-03","0.32","0.53"
"2012-04","0.33","20.42"
"2012-05","0.88","33.13"
"2012-06","0.28","47.93"
"2012-07","6.27","51.13"
"2012-08","5.35","49.21"
"2012-09","2.07","39.7"
"2012-10","1.36","30.58"
"2012-11","0.02","14.37"
"2012-12","0.62","3.27"
"2013-01","1.16","13.47"
"2013-02","0.36","-0.25"
"2013-03","0.64","8.47"
"2013-04","0.3","16.32"
"2013-05","1.79","31.06"
"2013-06","2.53","49.12"
"2013-07","2.12","51.63"
"2013-08","4.21","52.98"
"2013-09","1.98","39.88"
"2013-10","3.55","35.56"
"2013-11","1.68","18.82"
"2013-12","2.01","14.32"
"2014-01","1.57","21.26"
"2014-02","0.6","13.55"
"2014-03","0.53","12.27"
"2014-04","0.45","28.37"
"2014-05","1.32","35.08"
"2014-06","0.22","45.8"
"2014-07","2.62","51.13"
"2014-08","1.71","55.74"
"2014-09","2.58","45.33"
"2014-10","0.63","29.15"
"2014-11","1.44","26.23"
"2014-12","0.54","15.6"
"2015-01","0.71","9.18"
"2015-02","0.93","15.73"
"2015-03","0.7","6.47"
"2015-04","0.61","21.45"
"2015-05","1.49","41.13"
"2015-06","0.66","47.42"
"2015-07","1.44","54.9"
"2015-08","3.7","48.52"
"2015-09","1.49","39.95"
"2015-10","2.46","34.34"
"2015-11","1.95","21.52"
"2015-12","0.78","11.55"
"2016-01","0.53","20.23"
"2016-02","0.5","16.1"
"2016-03","0.04","11.61"
"2016-04","0.8","34.33"
"2016-05","1.22","42.9"
"2016-06","0.34","49.32"
"2016-07","3.82","51.79"
"2016-08","3.03","53.6"
"2016-09","2.29","43.75"
"2016-10","1.7","37.74"
"2016-11","0.71","15.88"
"2016-12","1.07","13.02"
"2017-01","0.71","5.82"
"2017-02","1.03","2.27"
"2017-03","0.01","0.65"
"2017-04","0.15","30.42"
"2017-05","0.94","38.69"
"2017-06","1.17","52.67"
"2017-07","3.93","53.18"
"2017-08","1.77","49"
"2017-09","2.73","41.93"
"2017-10","3.12","31.74"
"2017-11","1.9","23.55"
"2017-12","1.56","21.81"
"2018-01","0.46","7.56"
"2018-02","1.46","18.34"
"2018-03","2.48","16.95"
"2018-04","0.92","26.25"
"2018-05","0.42","36.24"
"2018-06","0.28","50.88"
"2018-07","1.5","53.42"
"2018-08","2.54","50.13"
"2018-09","1.31","47.28"
"2018-10","1.69","38.35"
"2018-11","1.49","24.85"
"2018-12","0.82","4.66"
"2019-01","1.09","7.58"
"2019-02","2.74","21.14"
"2019-03","1.8","23.77"
"2019-04","0.35","23.37"
"2019-05","1.17","40.6"
"2019-06","1.08","52.55"
"2019-07","4.37","54.5"
"2019-08","4.61","50.08"
"2019-09","4.33","45.5"
"2019-10","4.42","33.1"
"2019-11","0.36","20.35"
"2019-12","0.37","9.5"
"2020-01","0.41","0.15"
"2020-02","0.84","-1.79"
"2020-03","2.01","13.87"
"2020-04","2.47","24.77"
"2020-05","0.63","45.71"
"2020-06","1.33","51.45"
"2020-07","1.2","51.39"
"2020-08","1.09","51.27"
"2020-09","2.26","43.27"
"2020-10","2.16","35.02"
"2020-11","2.4","25.23"
"2020-12","1.32","12.37"
"2021-01","0.65","9.24"
"2021-02","0.49","1.88"
"2021-03","1.85","5.97"
"2021-04","1.37","21.42"
"2021-05","0.15","42.31"
"2021-06","1.63","47.93"
"2021-07","6.48","50.56"
"2021-08","3.55","49.19"
"2021-09","1.84","42.25"
"2021-10","1.71","29.77"
"2021-11","0.43","4.27"
"2021-12","3.96","8.45"
"2022-01","0.46","0.98"
"2022-02","0.6","8.73"
"2022-03","0.18","16.42"
"2022-04","0.65","27.78"
"2022-05","0.86","38.5"
"2022-06","0.95","50.67"
"2022-07","3.11","52.15"
"2022-08","3.83","50.03"
"2022-09","5.57","46.58"
"2022-10","1.8","32.02"
"2022-11","2.18","21.33"
"2022-12","1.74","14.37"
