Data downloaded from Alaska Climate Research Center (https://akclimate.org)
Station name: Utqiaġvik
Station ID: USW00027502
Downloaded: Sun Jan 01 2023 19:46:54 GMT-0900 (Alaska Standard Time)

"Date","Monthly Total Precipitation (in)","Monthly Average Mean Temperature (degF)"
"2006-01","0.13","-11.74"
"2006-02","0.36","-8.05"
"2006-03","0.13","-18.05"
"2006-04","0.2","-3.97"
"2006-05","0.03","23.9"
"2006-06","0.38","37.67"
"2006-07","1.06","39.08"
"2006-08","0.64","36.37"
"2006-09","0.37","36.15"
"2006-10","0.33","25.5"
"2006-11","0.34","5.97"
"2006-12","0.2","-2.85"
"2007-01","0.2","-15.73"
"2007-02","0.04","-10.29"
"2007-03","0.11","-15.27"
"2007-04","0.11","8.28"
"2007-05","0.26","16.81"
"2007-06","0.01","35.97"
"2007-07","0.04","44.19"
"2007-08","0.37","44.76"
"2007-09","0.34","37.65"
"2007-10","0.34","23.42"
"2007-11","0.47","13.87"
"2007-12","0.06","-0.39"
"2008-01","0.1","-15.69"
"2008-02","0.22","-13.98"
"2008-03","","-16.1"
"2008-04","0.73","7.48"
"2008-05","0.25","22.19"
"2008-06","0.5","37.2"
"2008-07","1.33","39.97"
"2008-08","0.3","37.52"
"2008-09","0.07","33.97"
"2008-10","0.86","22.53"
"2008-11","0.32","4"
"2008-12","0.14","0.45"
"2009-01","0.3","-12.85"
"2009-02","0.44","-15.95"
"2009-03","0.1","-15.63"
"2009-04","0.19","2.27"
"2009-05","0.45","25.55"
"2009-06","0.18","35.2"
"2009-07","0.75","43.73"
"2009-08","2.13","41.73"
"2009-09","0.67","34.87"
"2009-10","0.44","24.92"
"2009-11","0.18","0.57"
"2009-12","0.34","-3.35"
"2010-01","0.03","-16.23"
"2010-02","0.38","-9.73"
"2010-03","0.15","-9.89"
"2010-04","0.37","7.9"
"2010-05","0.53","19.5"
"2010-06","0.17","33.92"
"2010-07","1.64","42"
"2010-08","0.34","42.9"
"2010-09","0.56","37.4"
"2010-10","0.33","22.52"
"2010-11","0.84","10.8"
"2010-12","0.13","-9.18"
"2011-01","0.2","-9.66"
"2011-02","0.62","-6.07"
"2011-03","0.28","-6.4"
"2011-04","0.02","-1.02"
"2011-05","0.09","22.52"
"2011-06","0.54","35.2"
"2011-07","1.16","41.94"
"2011-08","0.82","42.11"
"2011-09","0.92","36.68"
"2011-10","1.11","22.76"
"2011-11","0.23","-0.13"
"2011-12","0.6","-9.61"
"2012-01","0.2","-20.6"
"2012-02","0.21","-12.21"
"2012-03","0.01","-21.56"
"2012-04","0.17","4.57"
"2012-05","0.5","21.63"
"2012-06","0.09","37.25"
"2012-07","0.54","43.94"
"2012-08","1.09","45.29"
"2012-09","1.93","34.68"
"2012-10","0.98","27.47"
"2012-11","0.48","5.87"
"2012-12","0.07","-9.55"
"2013-01","0.06","-8.61"
"2013-02","0.07","-18.29"
"2013-03","0.52","-7.37"
"2013-04","0.19","0.63"
"2013-05","0.4","22.74"
"2013-06","0.77","38.95"
"2013-07","1.68","44.37"
"2013-08","1.35","39.58"
"2013-09","1.29","31.23"
"2013-10","0.49","24.71"
"2013-11","0.42","7.52"
"2013-12","1.17","-2.55"
"2014-01","0.18","-6.47"
"2014-02","0.19","-6.98"
"2014-03","0.05","-4.77"
"2014-04","0.3","3.8"
"2014-05","0.9","26.31"
"2014-06","1.47","33.68"
"2014-07","1.01","38"
"2014-08","0.44","37.66"
"2014-09","1.06","33.33"
"2014-10","1.12","21.31"
"2014-11","0.49","9.72"
"2014-12","0.2","-6.82"
"2015-01","0.26","-10.27"
"2015-02","0.31","-6.55"
"2015-03","0.28","-11.02"
"2015-04","0.46","6.7"
"2015-05","0.65","28"
"2015-06","0.84","40.05"
"2015-07","0.22","40.53"
"2015-08","1.69","38.03"
"2015-09","0.45","31.07"
"2015-10","0.27","20.61"
"2015-11","0.26","2.85"
"2015-12","0.04","-10.6"
