Station,Scenario,Model,Variable,CV,Bias,NRMSE,RMSE,CV Delta From Observed,Max. Value,Max. Value Delta From Observed,A-D p-value,K-S p-value,K-S statistic sign
Juneau,rcp45,5ModelAvg,pr_total_mm,2.26,7.9,0.2,70.8,0.33,386.0,-3.7,0.01,0.09,-1
Juneau,rcp45,5ModelAvg,tas_mean_C,1.07,-0.7,0.1,2.3,0.16,15.9,0.3,0.16,0.28,-1
Juneau,rcp60,5ModelAvg,pr_total_mm,2.11,10.1,0.2,70.9,0.18,423.0,-40.7,0.0,0.01,1
Juneau,rcp60,5ModelAvg,tas_mean_C,1.07,-0.8,0.1,2.3,0.16,15.9,0.3,0.11,0.34,-1
Juneau,rcp85,5ModelAvg,pr_total_mm,2.15,8.6,0.2,69.8,0.22,386.0,-3.7,0.0,0.0,1
Juneau,rcp85,5ModelAvg,tas_mean_C,1.1,-0.8,0.1,2.1,0.19,15.8,0.4,0.07,0.23,-1
Juneau,rcp45,GFDL-CM3,pr_total_mm,1.74,11.2,0.2,81.7,0.19,574.0,-191.7,0.06,0.02,1
Juneau,rcp45,GFDL-CM3,tas_mean_C,1.01,-1.0,0.1,3.0,0.1,17.2,-1.0,0.04,0.09,-1
Juneau,rcp60,GFDL-CM3,pr_total_mm,1.82,14.9,0.2,84.9,0.11,388.0,-5.7,0.02,0.0,1
Juneau,rcp60,GFDL-CM3,tas_mean_C,1.0,-0.8,0.1,2.9,0.09,16.6,-0.4,0.14,0.34,-1
Juneau,rcp85,GFDL-CM3,pr_total_mm,1.93,7.4,0.2,79.0,0.0,410.0,-27.7,0.15,0.19,1
Juneau,rcp85,GFDL-CM3,tas_mean_C,1.23,-1.5,0.1,2.9,0.32,17.4,-1.2,0.0,0.03,-1
Juneau,rcp45,GISS-E2-R,pr_total_mm,1.82,8.6,0.2,82.7,0.11,378.0,4.3,0.25,0.12,1
Juneau,rcp45,GISS-E2-R,tas_mean_C,1.07,-0.6,0.1,2.9,0.16,17.6,-1.4,0.25,0.34,-1
Juneau,rcp60,GISS-E2-R,pr_total_mm,1.78,11.3,0.2,76.7,0.15,422.0,-39.7,0.09,0.07,1
Juneau,rcp60,GISS-E2-R,tas_mean_C,1.06,-0.7,0.1,3.0,0.15,17.1,-0.9,0.19,0.15,-1
Juneau,rcp85,GISS-E2-R,pr_total_mm,1.79,14.0,0.2,81.8,0.14,394.0,-11.7,0.04,0.01,1
Juneau,rcp85,GISS-E2-R,tas_mean_C,0.98,-0.5,0.1,2.9,0.07,18.0,-1.8,0.25,0.15,-1
Juneau,rcp45,IPSL-CM5A-LR,pr_total_mm,1.68,10.3,0.3,96.4,0.25,411.0,-28.7,0.11,0.23,1
Juneau,rcp45,IPSL-CM5A-LR,tas_mean_C,0.97,-0.6,0.1,2.9,0.06,17.2,-1.0,0.22,0.41,-1
Juneau,rcp60,IPSL-CM5A-LR,pr_total_mm,1.87,6.1,0.2,89.2,0.06,463.0,-80.7,0.25,0.34,1
Juneau,rcp60,IPSL-CM5A-LR,tas_mean_C,1.1,-1.2,0.1,2.9,0.19,17.5,-1.3,0.02,0.19,-1
Juneau,rcp85,IPSL-CM5A-LR,pr_total_mm,1.8,12.7,0.2,88.7,0.13,487.0,-104.7,0.05,0.04,1
Juneau,rcp85,IPSL-CM5A-LR,tas_mean_C,1.06,-1.0,0.1,2.9,0.15,17.7,-1.5,0.08,0.23,-1
Juneau,rcp45,MRI-CGCM3,pr_total_mm,1.81,9.9,0.2,79.7,0.12,412.0,-29.7,0.15,0.07,1
Juneau,rcp45,MRI-CGCM3,tas_mean_C,0.94,-0.2,0.1,2.9,0.03,16.7,-0.5,0.25,0.64,-1
Juneau,rcp60,MRI-CGCM3,pr_total_mm,1.72,11.1,0.2,85.5,0.21,598.0,-215.7,0.1,0.12,1
Juneau,rcp60,MRI-CGCM3,tas_mean_C,1.09,-0.6,0.1,2.7,0.18,15.5,0.7,0.25,0.34,-1
Juneau,rcp85,MRI-CGCM3,pr_total_mm,1.51,2.0,0.3,94.1,0.42,680.0,-297.7,0.07,0.06,1
Juneau,rcp85,MRI-CGCM3,tas_mean_C,1.08,-0.7,0.1,2.6,0.17,16.4,-0.2,0.25,0.34,-1
Juneau,rcp45,CCSM4,pr_total_mm,1.69,-0.3,0.3,92.3,0.24,435.0,-52.7,0.25,0.87,1
Juneau,rcp45,CCSM4,tas_mean_C,1.09,-1.2,0.1,3.5,0.18,19.9,-3.7,0.02,0.02,-1
Juneau,rcp60,CCSM4,pr_total_mm,1.36,7.4,0.3,94.9,0.57,582.0,-199.7,0.01,0.01,1
Juneau,rcp60,CCSM4,tas_mean_C,0.89,-0.8,0.2,3.6,0.02,20.1,-3.9,0.02,0.15,-1
Juneau,rcp85,CCSM4,pr_total_mm,1.63,7.1,0.2,82.0,0.3,624.0,-241.7,0.18,0.09,1
Juneau,rcp85,CCSM4,tas_mean_C,0.87,-0.2,0.1,3.4,0.04,18.8,-2.6,0.25,0.15,-1
Ketchikan,rcp45,5ModelAvg,pr_total_mm,2.52,36.3,0.2,167.4,0.64,674.0,209.9,0.0,0.02,1
Ketchikan,rcp45,5ModelAvg,tas_mean_C,1.62,-0.3,0.1,1.8,0.12,16.6,0.9,0.25,0.64,-1
Ketchikan,rcp60,5ModelAvg,pr_total_mm,2.28,36.7,0.2,174.8,0.4,777.0,106.9,0.0,0.0,1
Ketchikan,rcp60,5ModelAvg,tas_mean_C,1.63,-0.4,0.1,1.9,0.13,16.7,0.8,0.25,0.8,-1
Ketchikan,rcp85,5ModelAvg,pr_total_mm,2.47,38.7,0.2,164.2,0.59,680.0,203.9,0.0,0.0,1
Ketchikan,rcp85,5ModelAvg,tas_mean_C,1.66,-0.4,0.1,1.7,0.16,16.2,1.3,0.22,0.56,-1
Ketchikan,rcp45,GFDL-CM3,pr_total_mm,1.82,50.8,0.2,189.7,0.06,764.0,119.9,0.0,0.0,1
Ketchikan,rcp45,GFDL-CM3,tas_mean_C,1.51,-0.6,0.1,2.5,0.01,19.4,-1.9,0.14,0.41,-1
Ketchikan,rcp60,GFDL-CM3,pr_total_mm,1.87,51.6,0.2,198.2,0.01,801.0,82.9,0.0,0.0,1
Ketchikan,rcp60,GFDL-CM3,tas_mean_C,1.5,-0.4,0.1,2.5,0.0,17.7,-0.2,0.25,0.56,-1
Ketchikan,rcp85,GFDL-CM3,pr_total_mm,1.96,39.4,0.2,186.4,0.08,929.0,-45.1,0.01,0.02,1
Ketchikan,rcp85,GFDL-CM3,tas_mean_C,1.83,-1.0,0.1,2.3,0.33,17.1,0.4,0.01,0.01,-1
